Date,Description,Amount,Extended Details
2026-03-03,IDP PURCHASE - 4612 CANADIAN TIRE #2196 ON,97.88,
2026-03-05,IDP PURCHASE - 8060 TIM HORTONS #3324 TORONTO ON,5.80,
2026-03-06,IDP PURCHASE - 5260 SWISS CHALET #1631 ON,56.99,
2026-03-07,IDP PURCHASE - 5650 TIM HORTONS #1246 TORONTO ON,4.17,
2026-03-09,IDP PURCHASE - 5119 WINNERS #3424 ON,48.55,
2026-03-13,IDP PURCHASE - 2615 LOBLAWS #3980 TORONTO ON,48.14,
2026-03-13,IDP PURCHASE - 7276 PETRO-CANADA #2067 ON,53.54,
2026-03-15,IDP PURCHASE - 7091 HOME DEPOT #3943 ON,173.56,
2026-03-15,IDP PURCHASE - 8549 PETRO-CANADA #289 ON,78.09,
2026-03-20,IDP PURCHASE - 5887 STARBUCKS #2436 TORONTO ON,9.49,
2026-03-21,IDP PURCHASE - 9397 TIM HORTONS #3834 TORONTO ON,6.10,
2026-03-23,UBER TRIP HELP.UBER.COM ON,23.59,
2026-03-25,AMZ*UBER EATS TORONTO ON,48.98,
2026-03-26,PAYMENT - THANK YOU / PAIEMENT - MERCI,-866.79,
2026-03-27,IDP PURCHASE - 1778 DOLLARAMA #4979 ON,26.34,
2026-03-28,IDP PURCHASE - 9291 COSTCO WHOLESALE #3266 ON,175.12,
2026-03-29,IDP PURCHASE - 5384 TIM HORTONS #2233 TORONTO ON,10.45,
2026-04-04,IDP PURCHASE - 2705 SHOPPERS DRUG MART #4068 ON,20.36,
2026-04-12,IDP PURCHASE - 3622 SWISS CHALET #4773 ON,28.26,
2026-04-14,UBER TRIP HELP.UBER.COM ON,19.53,
2026-04-17,IDP PURCHASE - 4829 TIM HORTONS #2200 TORONTO ON,13.49,
2026-04-22,IDP PURCHASE - 3187 HOME DEPOT #2882 ON,66.15,
2026-04-23,IDP PURCHASE - 8318 WINNERS #643 ON,54.40,
2026-04-25,IDP PURCHASE - 9263 PETRO-CANADA #1040 ON,88.06,
2026-04-26,IDP PURCHASE - 3855 TIM HORTONS #1090 TORONTO ON,7.30,
2026-04-26,PAYMENT - THANK YOU / PAIEMENT - MERCI,-311.68,
2026-04-30,IDP PURCHASE - 7780 DOLLARAMA #4892 ON,14.13,
2026-05-02,IDP PURCHASE - 2585 PETRO-CANADA #2477 ON,52.57,
2026-05-04,IDP PURCHASE - 2930 COSTCO WHOLESALE #4267 ON,142.27,
2026-05-14,IDP PURCHASE - 8182 NO FRILLS #2180 TORONTO ON,92.70,
2026-05-15,IDP PURCHASE - 4516 TIM HORTONS #2247 TORONTO ON,7.57,
2026-05-15,IDP PURCHASE - 5511 PETRO-CANADA #3295 ON,83.14,
2026-05-16,IDP PURCHASE - 9500 WINNERS #2028 ON,133.30,
2026-05-21,UBER TRIP HELP.UBER.COM ON,33.96,
2026-05-24,IDP PURCHASE - 2031 SWISS CHALET #2119 ON,38.60,
2026-05-25,IDP PURCHASE - 6010 TIM HORTONS #3141 TORONTO ON,4.79,
2026-05-26,IDP PURCHASE - 2151 TIM HORTONS #2619 TORONTO ON,6.33,
2026-05-26,PAYMENT - THANK YOU / PAIEMENT - MERCI,-595.23,
2026-06-01,IDP PURCHASE - 9645 NO FRILLS #105 TORONTO ON,86.94,
2026-06-03,UBER TRIP HELP.UBER.COM ON,29.63,
2026-06-08,IDP PURCHASE - 6593 TIM HORTONS #1428 TORONTO ON,8.23,
2026-06-09,IDP PURCHASE - 4053 DOLLARAMA #2295 ON,15.12,
2026-06-10,IDP PURCHASE - 1057 WINNERS #1506 ON,132.91,
2026-06-12,IDP PURCHASE - 9707 TIM HORTONS #1794 TORONTO ON,13.08,
2026-06-13,AMZ*UBER EATS TORONTO ON,38.51,
2026-06-14,IDP PURCHASE - 3771 TIM HORTONS #2712 TORONTO ON,8.99,
2026-06-16,IDP PURCHASE - 1378 LOBLAWS #3433 TORONTO ON,136.93,
2026-06-16,IDP PURCHASE - 8083 SWISS CHALET #4117 ON,61.26,
2026-06-21,IDP PURCHASE - 2111 TIM HORTONS #1514 TORONTO ON,8.06,
2026-06-23,IDP PURCHASE - 5633 TIM HORTONS #3308 TORONTO ON,12.17,
2026-06-26,AMZ*UBER EATS TORONTO ON,52.32,
2026-06-26,IDP PURCHASE - 7841 LOBLAWS #420 TORONTO ON,120.86,
2026-06-26,PAYMENT - THANK YOU / PAIEMENT - MERCI,-972.14,
2026-06-27,IDP PURCHASE - 5645 INDIGO #630 ON,69.08,
2026-06-30,IDP PURCHASE - 8575 COSTCO WHOLESALE #3996 ON,178.05,
2026-07-05,IDP PURCHASE - 5434 LOBLAWS #4523 TORONTO ON,104.25,
2026-07-05,UBER TRIP HELP.UBER.COM ON,22.05,
2026-07-09,IDP PURCHASE - 7812 STARBUCKS #3113 TORONTO ON,10.47,
2026-07-11,IDP PURCHASE - 3832 TIM HORTONS #3028 TORONTO ON,3.29,
2026-07-13,IDP PURCHASE - 1389 DOLLARAMA #1385 ON,26.91,
2026-07-13,IDP PURCHASE - 7267 CANADIAN TIRE #3511 ON,41.82,
2026-07-16,IDP PURCHASE - 9921 WINNERS #923 ON,102.77,
2026-07-17,IDP PURCHASE - 2861 HOME DEPOT #1619 ON,85.65,
2026-07-18,IDP PURCHASE - 8540 TIM HORTONS #4343 TORONTO ON,6.12,
2026-07-21,IDP PURCHASE - 3059 PETRO-CANADA #4610 ON,50.64,
2026-07-26,PAYMENT - THANK YOU / PAIEMENT - MERCI,-493.26,
2026-07-28,IDP PURCHASE - 2776 TIM HORTONS #4752 TORONTO ON,9.42,
2026-07-31,PRESTO FARE/TRANSIT TORONTO ON,29.87,
2026-08-03,IDP PURCHASE - 6544 PETRO-CANADA #377 ON,67.14,
2026-08-05,IDP PURCHASE - 3180 PIZZA NOVA #2106 ON,29.36,
2026-08-09,UBER TRIP HELP.UBER.COM ON,32.37,
2026-08-11,IDP PURCHASE - 5977 DOLLARAMA #2467 ON,19.61,
2026-08-16,IDP PURCHASE - 6757 TIM HORTONS #490 TORONTO ON,5.67,
2026-08-19,UBER TRIP HELP.UBER.COM ON,22.90,
2026-08-20,IDP PURCHASE - 1709 LCBO/RAO #2813 TORONTO ON,58.78,
2026-08-26,PAYMENT - THANK YOU / PAIEMENT - MERCI,-291.91,
2026-08-30,AMZ*UBER EATS TORONTO ON,56.08,
