Date,Transaction,Name,Memo,Amount
03/03/2026,DEBIT,IDP PURCHASE - 6527 LCBO/RAO #4079 TORONTO ON,,-28.27
03/15/2026,DEBIT,IDP PURCHASE - 2389 TIM HORTONS #273 TORONTO ON,,-12.65
03/15/2026,CREDIT,PAYROLL DEPOSIT MAPLE HEALTH GROUP,,2004.44
03/16/2026,DEBIT,TFSA CONTRIBUTION TANGERINE INVESTMENT,,-350.00
03/23/2026,DEBIT,IDP PURCHASE - 6662 INDIGO #862 ON,,-27.38
03/30/2026,CREDIT,PAYROLL DEPOSIT MAPLE HEALTH GROUP,,2008.44
04/04/2026,DEBIT,PRESTO FARE/TRANSIT TORONTO ON,,-132.05
04/06/2026,DEBIT,IDP PURCHASE - 9782 COSTCO WHOLESALE #418 ON,,-106.21
04/07/2026,DEBIT,IDP PURCHASE - 2098 PIZZA NOVA #2251 ON,,-26.40
04/14/2026,DEBIT,IDP PURCHASE - 7092 TIM HORTONS #2884 TORONTO ON,,-8.28
04/15/2026,CREDIT,PAYROLL DEPOSIT MAPLE HEALTH GROUP,,1971.44
04/16/2026,DEBIT,IDP PURCHASE - 3380 PETRO-CANADA #4548 ON,,-92.78
04/16/2026,DEBIT,TFSA CONTRIBUTION TANGERINE INVESTMENT,,-350.00
04/18/2026,DEBIT,IDP PURCHASE - 9571 STARBUCKS #1487 TORONTO ON,,-11.39
04/19/2026,DEBIT,IDP PURCHASE - 7303 TIM HORTONS #2375 TORONTO ON,,-3.97
04/20/2026,DEBIT,IDP PURCHASE - 5488 NO FRILLS #3161 TORONTO ON,,-110.34
04/21/2026,DEBIT,UBER TRIP HELP.UBER.COM ON,,-25.55
04/22/2026,DEBIT,DONATION UNITED WAY MISC PAYMENT,,-50.00
04/23/2026,DEBIT,IDP PURCHASE - 6646 STARBUCKS #4636 TORONTO ON,,-11.81
04/25/2026,DEBIT,IDP PURCHASE - 2137 TIM HORTONS #1731 TORONTO ON,,-8.03
04/28/2026,DEBIT,IDP PURCHASE - 6546 TIM HORTONS #1997 TORONTO ON,,-3.81
04/28/2026,DEBIT,IDP PURCHASE - 9118 CANADIAN TIRE #1782 ON,,-31.04
04/30/2026,CREDIT,PAYROLL DEPOSIT MAPLE HEALTH GROUP,,2009.44
05/03/2026,DEBIT,IDP PURCHASE - 2329 LCBO/RAO #4358 TORONTO ON,,-52.37
